日期,国家,确诊人数,治愈人数,死亡人数,新增确诊,新增死亡,现有确诊
2月1日,美国,7,,0,,0,7
2月2日,美国,8,,0,1,0,8
2月3日,美国,11,,0,3,0,11
2月4日,美国,11,,0,0,0,11
2月5日,美国,11,,0,0,0,11
2月6日,美国,12,,0,1,0,12
2月7日,美国,12,,0,0,0,12
2月8日,美国,12,,0,0,0,12
2月9日,美国,12,,0,0,0,12
2月10日,美国,12,,0,0,0,12
2月11日,美国,13,,0,1,0,13
2月12日,美国,13,,0,0,0,13
2月13日,美国,14,,0,1,0,14
2月14日,美国,15,,0,1,0,15
2月15日,美国,15,,0,0,0,15
2月16日,美国,15,,0,0,0,15
2月17日,美国,15,,0,0,0,15
2月18日,美国,15,,0,0,0,15
2月19日,美国,15,,0,0,0,15
2月20日,美国,15,,0,0,0,15
2月21日,美国,15,,0,0,0,15
2月22日,美国,35,,0,20,0,35
2月23日,美国,35,,0,0,0,35
2月24日,美国,35,,0,0,0,35
2月25日,美国,53,,0,18,0,53
2月26日,美国,53,,0,0,0,53
2月27日,美国,59,,0,6,0,59
2月28日,美国,59,,0,0,0,59
2月29日,美国,62,,0,3,0,62
3月1日,美国,62,,0,0,0,62
3月2日,美国,62,,0,0,0,62
3月3日,美国,64,,2,2,2,64
3月4日,美国,108,,6,44,4,108
3月5日,美国,129,,9,21,3,129
3月6日,美国,148,,10,19,1,148
3月7日,美国,317,15,15,169,5,302
3月8日,美国,434,15,19,117,4,419
3月9日,美国,538,15,22,104,3,523
3月10日,美国,624,15,26,86,4,609
3月11日,美国,975,15,30,351,4,960
3月12日,美国,1301,15,38,326,8,1286
3月13日,美国,1697,30,41,396,3,1667
3月14日,美国,2269,41,48,572,7,2228
3月15日,美国,2836,49,57,567,9,2787
3月16日,美国,3668,59,68,832,11,3609
3月17日,美国,4547,74,85,879,17,4473
3月18日,美国,6439,106,109,1892,24,6333
3月19日,美国,9261,106,150,2822,41,9155
3月20日,美国,13816,108,207,4555,57,13708
3月21日,美国,19083,147,275,5267,68,18936
3月22日,美国,26111,176,324,7028,49,25935
3月23日,美国,32356,178,414,6245,90,32178
3月24日,美国,43449,295,545,11093,131,43154
3月25日,美国,53358,370,695,9909,150,52988
3月26日,美国,65342,393,922,11984,227,64949
3月27日,美国,82179,1864,1177,16837,255,80315
3月28日,美国,100514,2465,1546,18335,369,98049
3月29日,美国,120529,3229,2008,20015,462,117300
3月30日,美国,139986,4435,2454,19457,446,135551
3月31日,美国,160344,5220,2953,20358,499,155124
4月1日,美国,185270,6347,3780,24926,827,178923
4月2日,美国,211408,8805,4718,26138,938,202603
4月3日,美国,240529,10365,5810,29121,1092,230164
