日期,国家,确诊人数,治愈人数,死亡人数,新增确诊,新增死亡,现有确诊
2月1日,全球,14543,,304,23,,14543
2月2日,全球,17384,,362,2841,58,17384
2月3日,全球,20624,,426,3240,64,20624
2月4日,全球,24522,,492,3898,66,24522
2月5日,全球,28251,,565,3729,73,28251
2月6日,全球,31427,,638,3176,73,31427
2月7日,全球,34868,,724,3441,86,34868
2月8日,全球,37544,,813,2676,89,37544
2月9日,全球,40542,,910,2998,97,40542
2月10日,全球,43027,,1018,2485,108,43027
2月11日,全球,45125,,1115,2098,97,45125
2月12日,全球,60323,,1261,15198,146,60323
2月13日,全球,64379,,1382,4056,121,64379
2月14日,全球,67081,,1526,2702,144,67081
2月15日,全球,69110,,1669,2029,143,69110
2月16日,全球,71317,,1775,2207,106,71317
2月17日,全球,73322,,1873,2005,98,73322
2月18日,全球,75083,,2009,1761,136,75083
2月19日,全球,75599,,2124,516,115,75599
2月20日,全球,77086,,2247,1487,123,77086
2月21日,全球,77592,,2356,506,109,77592
2月22日,全球,78248,,2456,656,100,78248
2月23日,全球,79031,,2612,783,156,79031
2月24日,全球,79848,,2689,817,77,79848
2月25日,全球,80649,,2752,801,63,80649
2月26日,全球,81550,,2791,901,39,81550
2月27日,全球,82622,,2848,1072,57,82622
2月28日,全球,84080,,2905,1458,57,84080
2月29日,全球,85977,,2959,1897,54,85977
3月1日,全球,87343,,3019,1366,60,87343
3月2日,全球,89106,,3074,1763,55,89106
3月3日,全球,90975,,3150,1869,76,90975
3月4日,全球,93233,,3229,2258,79,93233
3月5日,全球,95481,,3312,2248,83,95481
3月6日,全球,98297,,3409,2816,97,98297
3月7日,全球,102050,55932,3521,3753,112,46118
3月8日,全球,105873,58519,3615,3823,94,47354
3月9日,全球,110074,60789,3848,4201,233,49285
3月10日,全球,114501,62776,4051,4427,203,51725
3月11日,全球,118946,65114,4303,4445,252,53832
3月12日,全球,126090,67057,4634,7144,331,59033
3月13日,全球,134576,68932,4992,8486,358,65644
3月14日,全球,145380,70931,5438,10804,446,74449
3月15日,全球,156511,74466,5841,11131,403,82045
3月16日,全球,169627,76618,6533,13116,692,93009
3月17日,全球,181955,78340,7163,12328,630,103615
3月18日,全球,198308,81734,7984,16353,821,116574
3月19日,全球,218850,84386,8934,20542,950,134464
3月20日,全球,245043,87408,10034,26193,1100,157635
3月21日,全球,282906,93510,11821,37863,1787,189396
3月22日,全球,307030,94798,13029,24124,1208,212232
3月23日,全球,335542,97636,14611,28512,1582,237906
3月24日,全球,378524,101584,16491,42982,1880,276940
3月25日,全球,420835,108323,18800,42311,2309,312512
3月26日,全球,467397,113808,21160,46562,2360,353589
3月27日,全球,526071,123337,23721,58674,2561,402734
3月28日,全球,590658,132490,26966,64587,3245,458168
3月29日,全球,658672,141420,30471,68014,3505,517252
3月30日,全球,718897,150918,33897,60225,3426,567979
3月31日,全球,780506,164631,37551,61609,3654,615875
4月1日,全球,854039,176906,42014,73533,4463,677133
4月2日,全球,930819,193750,46781,76780,4767,737069
4月3日,全球,1009727,211907,51971,78908,5190,797820
4月4日,全球,1082202,228109,58779,72475,6808,854093
4月5日,全球,1182530,246110,64577,100328,5798,936420
4月6日,全球,1251288,261134,69321,68758,4744,990154
4月7日,全球,1324393,278156,74442,73105,5121,1046237
4月8日,全球,1402629,301623,81857,78236,7415,1101006
4月9日,全球,1485407,319292,88100,82778,6243,1166115
4月10日,全球,1573971,355392,95385,88564,7285,1218579
4月11日,全球,1667246,375321,102399,93275,7014,1291925
4月12日,全球,1748913,401498,108477,81667,6078,1347415
4月13日,全球,1821865,422488,113902,72952,5425,1399377
4月14日,全球,1890452,443192,119212,68587,5310,1447260
4月15日,全球,1959595,467074,125951,69143,6739,1492521
4月16日,全球,2040130,509067,134020,80535,8069,1531063
4月17日,全球,2127583,546743,145417,87453,11397,1580840
4月18日,全球,2201506,569937,153818,73923,8401,1631569
4月19日,全球,2288798,595381,159747,87292,5929,1693417
4月20日,全球,2367742,615703,164856,78944,5109,1752039
4月21日,全球,2438771,645019,169948,71029,5092,1793752
4月22日,全球,2515331,688356,177177,76560,7229,1826975
4月23日,全球,2593158,716731,183723,77827,6546,1876427
4月24日,全球,2672915,743567,190110,79757,6387,1929348
4月25日,全球,2780925,779766,196575,108010,6465,2001159
4月26日,全球,2870677,832702,202558,89752,5983,2037975
4月27日,全球,2932425,876488,206728,61748,4170,2055937
4月28日,全球,3000760,919366,211065,68335,4337,2081394
4月29日,全球,3070544,950878,216987,69784,5922,2119666
4月30日,全球,3145204,996827,227368,74660,10381,2148377
5月1日,全球,3236425,1037913,233641,91221,6273,2198512
5月2日,全球,3326409,1077834,239110,89984,5469,2248575
