lat,lng,value
33.93911,67.709953,58843
41.1533,20.1683,130537
28.0339,1.6596,120922
42.5063,1.5218,13060
-11.2027,17.8739,25609
17.0608,-61.7964,1227
-38.4161,-63.6167,2860884
40.0691,45.0382,213288
-35.4735,149.0124,123
-33.8688,151.2093,5428
-12.4634,130.8456,164
-27.4698,153.0251,1531
-34.9285,138.6007,705
-42.8821,147.3272,234
-37.8136,144.9631,20509
-31.9505,115.8605,986
47.5162,14.5501,608979
40.1431,47.5769,313006
25.025885,-78.035889,10050
26.0275,50.55,171370
23.685,90.3563,745322
13.1939,-59.5432,3824
53.7098,27.9534,352950
51.2195,4.4024,124360
50.8503,4.3517,120744
51.0362,3.7373,112023
50.9167,4.5833,74353
50.5257,4.0621,143980
50.4496,5.8492,119896
50.9739,5.3420000000000005,52877
50.0547,5.4677,28533
50.331,4.8221,54143
,,18467
50.4,4.35,37251
51.0536,3.1458,87791
17.1899,-88.4976,12599
9.3077,2.3158,7720
27.5142,90.4336,1022
-16.2902,-63.5887,297659
43.9159,17.6791,194733
-22.3285,24.6849,45855
-9.0238,-70.812,76747
-9.5713,-36.782,170611
0.902,-52.003,104308
-3.4168,-65.8561,367713
-12.5797,-41.7007,884044
-5.4984,-39.3206,650846
-15.7998,-47.8645,373501
-19.1834,-40.3089,427631
-15.827,-49.8362,538640
-4.9609,-45.2744,261860
-12.6819,-56.9211,351368
-20.7722,-54.7852,243553
-18.5122,-44.555,1323153
-1.9981,-54.9306,462843
-7.24,-36.782,287340
-25.2521,-52.0215,929097
-8.8137,-36.9541,395563
-7.7183,-42.7289,235203
-5.4026,-36.9541,218045
-30.0346,-51.2177,948958
-22.9068,-43.1729,724596
-11.5057,-63.5806,209166
-2.7376,-62.0751,95223
-27.2423,-50.2189,873102
-23.5505,-46.6333,2834321
-10.5741,-37.3857,196699
-10.1753,-48.2982,156656
4.5353,114.7277,223
42.7339,25.4858,397500
12.2383,-1.5616,13263
21.9162,95.956,142712
-3.3731,29.9189,3853
16.5388,-23.0418,22349
11.55,104.9167,9975
3.848,11.5021,65998
53.9333,-116.5765,181806
53.7267,-127.6476,123758
,,0
,,13
53.7609,-98.8139,37598
46.5653,-66.4619,1851
53.1355,-57.6604,1058
64.8255,-124.8457,54
44.682,-63.7443,2053
70.2998,-83.1076,455
51.2538,-85.3232,453337
46.5107,-63.4168,175
52.9399,-73.5491,344808
,,13
52.9399,-106.4509,39932
64.2823,-135.0,80
6.6111,20.9394,6224
15.4542,18.7322,4770
-23.6509,-70.3975,48001
-38.9489,-72.3311,68429
-18.594,-69.4785,19693
-27.5661,-70.0503,17513
-45.9864,-73.7669,4148
-37.4464,-72.1416,112831
-29.959,-71.3389,31224
-41.9198,-72.1416,67761
-40.231,-72.3311,32931
-52.368,-70.9863,24753
-35.5183,-71.6885,68362
-33.4376,-70.6505,486365
-36.7226,-71.7622,25319
-34.5755,-71.0022,46641
-19.9232,-69.5132,32948
,,55
-33.0472,-71.6127,82562
31.8257,117.2264,994
40.1824,116.4142,1057
30.0572,107.874,594
26.0789,117.9874,590
35.7518,104.2861,193
23.3417,113.4244,2329
23.8298,108.7881,270
26.8154,106.8748,147
19.1959,109.7453,187
37.8957,114.9042,1317
47.862,127.7615,1610
33.882,113.614,1312
22.3,114.2,11736
30.9756,112.2707,68157
27.6104,111.7088,1044
44.0935,113.9448,379
32.9711,119.455,718
